,City,Street,Floor,NumOfRooms,Size(SQM),Type,Price(₪)
7385, אשקלון,שדרות הציונות 1,3,4.0,120,דירה,2200000
7386, קרית אונו,האורן 26,1,4.0,96,דירה,2640000
7387, קרית אונו,התמר 3,3,3.0,75,דירה,3000000
7388, בני ברק,שלמה בן יוסף 10,3,6.5,230,דופלקס,3650000
7389, גבעתיים,"רמב""ם 3",1,4.0,103,דירה,4200000
7390, אשקלון,שיבת ציון 26,0,5.0,190,דירת גן,1850000
7391, קרית ביאליק,שבטי ישראל 44,3,6.0,175,גג/פנטהאוז,2650000
7392, מגדל העמק,שאר העיר,2,5.0,230,דירת גן,2000000
7393, נתניה,יצחק גרינבוים 39,2,4.0,84,דירה,1750000
7394, תל אביב יפו,יוסף פעמוני,9,5.0,115,דירה,6990000
7395, גבעתיים,בורוכוב,2,4.5,117,דירה,3750000
7396, יבנה,הסירה,2,4.0,114,דירה,2680000
7397, חיפה,נווה שאנן,8,5.0,120,דירה,2090000
7398, מעלה אדומים,ככר יהלום,2,5.0,140,דופלקס,2190000
7399, נתיבות,נתיבות,3,4.0,122,דירה,1400000
7400, כפר סבא,כפר סבא,1,4.0,1,דירה,3000000
7401, אשדוד,אשדוד,22,9.0,660,גג/פנטהאוז,12750000
7402, קרית גת,מלכי ישראל,4,4.0,84,דירה,965000
7403, חריש,חריש,3,5.0,118,דירה,1750000
7404, תל אביב יפו,רופין,1,3.0,68,דירה,4150000
7405, רחובות,אהרון אייזנברג 35,1,5.0,125,דירה,3200000
7406, חריש,התחדשות,1,5.0,176,דירה,2190000
7407, לוד,סן מרטין,11,3.0,80,דירה,1595000
7408, חיפה,זוהר,0,5.0,225,דירת גן,3550000
7409, קרית אונו,יצחק רבין,7,4.0,123,דירה,3620000
7410, הרצליה,תור הזהב,1,3.0,55,דירה,2850000
7411, אשדוד,"רובע הקריה, הסיטי",5,5.0,168,גג/פנטהאוז,3080000
7413, חדרה,"חטיבת הנח""ל 7",9,6.0,200,גג/פנטהאוז,2950000
7414, קרית אתא,שדרות הציונות 1,2,4.0,93,דירה,1050000
7415, קרית ארבע,דוד המלך 31,3,3.0,77,דירה,765000
7416, עפולה,נורדאו 1,2,3.0,86,דירה,920000
7417, אילת,שדרות יעלים 1,4,4.0,88,דירה,1395000
7418, צפת,שפרינצק 139,2,4.0,100,דירה,1500000
7419, אשדוד,רוגוזין 57,2,4.0,112,דירה,2300000
7420, קרית גת,הגולן 16,0,4.0,132,דירת גן,1750000
7421, רחובות,חיים סירני 13,6,4.0,104,דירה,2000000
7422, קרית שמונה,אליעזר פרי 5,3,5.5,168,דירה,1165000
7423, בת ים,אלי כהן 12,4,4.5,95,דירה,2290000
7424, ירושלים,יצחק מירסקי 19,1,5.0,160,דירת גן,5200000
7425, רמת גן,הפודים 30,17,5.0,123,דירה,4400000
7426, בת ים,רוטשילד 10,3,3.5,83,דירה,2900000
7427, כפר יונה,אהבת אדם 66,6,3.0,98,דירה,2300000
7428, אפרת,הקציר 10,1,5.0,156,דירה,3800000
7429, כרמיאל,בציר 82,2,3.0,102,דירה,1260000
7430, ירושלים,הקונגרס הציוני 1,0,4.0,207,דירת גן,4600000
7431, חדרה,הפארק,6,7.0,170,דופלקס,3290000
7432, תל אביב יפו,המשתלה,3,5.0,125,דירה,4880000
7433, פתח תקווה,המרכז השקט / מרכז העיר,6,3.0,173,גג/פנטהאוז,2800000
7434, ראשון לציון,נחלת יהודה,3,3.0,85,דירה,2590000
7435, רמת השרון,סוקולוב,6,4.0,190,גג/פנטהאוז,5200000
7436, רמת גן,המעיין 3,10,4.0,125,דירה,5400000
7437, בת ים,הגדוד העברי,0,4.0,90,דירת גן,2500000
7438, ראשון לציון,"ביל""ו",2,4.0,90,דירה,2320000
7439, תל אביב יפו,כוכב הצפון,12,3.0,80,גג/פנטהאוז,7500000
7440, תל אביב יפו,הצפון הישן - דרום,3,1.0,28,דירה,2750000
7441, רמלה,יוסי בנאי,1,4.5,135,דירה,3099000
7442, באר שבע,ז'בוטינסקי 23,2,3.0,80,דירה,850000
7443, רעננה,נווה זמר,1,4.0,116,דירה,3590000
7444, קרית טבעון,קרית טבעון,0,2.5,54,דירה,1550000
7445, נתניה,שדרות האגמים,5,5.0,130,דירה,3550000
7446, תל אביב יפו,מרים החשמונאית,2,4.0,110,דירה,6500000
7447, פתח תקווה,הרצפלד,3,3.0,76,דירה,2290000
7448, רמת גן,אנה פרנק,1,2.5,70,דירה,3050000
7449, הרצליה,מרכז,1,6.0,165,דירת גן,6700000
7451, ירושלים,הרב שמעון אגסי,2,6.5,200,דופלקס,4500000
7452, אשקלון,בני עקיבא 8,1,4.0,250,דירת גן,2300000
7453, צור הדסה,דוכיפת 28,3,3.0,103,דירה,2200000
7454, קרית מוצקין,"אח""י אילת 19",1,4.0,140,דירה,1700000
7455, רמת גן,תרצה 3,1,4.0,85,דירה,2750000
7456, אשדוד,בורוכוב 9,0,3.0,90,דירת גן,1600000
7457, חולון,יעקב פיכמן 15,9,4.0,108,דירה,3250000
7458, רעננה,לוי אשכול 7,4,4.0,100,דירה,3800000
7459, אשקלון,שדרות הציונות 3,5,5.0,150,דירה,2680000
7460, חריש,רקפת 11,0,4.0,204,דירת גן,2420000
7461, בת ים,הגבעות 10,2,2.5,60,דירה,1800000
7462, נתניה,אירוס הארגמן 43,1,4.0,200,דירת גן,3850000
7463, קרית ארבע,דוד המלך 5,2,4.0,95,דירה,900000
7464, חולון,אורים 1,6,3.0,96,דירה,2600000
7465, יבנה,שדרות העצמאות 47,8,4.0,115,גג/פנטהאוז,3000000
7466, גבעת זאב,סביון 2,2,4.0,108,דירה,3700000
7467, ביתר עילית,"הרב ש""ך 12",-2,4.0,175,דירה,2600000
7468, ירושלים,שמחה הולצברג 16,4,4.0,91,דירה,2190000
7469, ירושלים,השופט חיים כהן 14,8,3.0,90,דירה,2900000
7473, רמת השרון,גולן,0,5.0,200,דירת גן,7000000
7474, כרמיאל,חטיבת גבעתי,2,4.5,102,דירה,1700000
7475, הוד השרון,מתחם 1200,13,6.0,150,דירה,5495000
7476, אשדוד,אשדוד,4,4.5,130,דירה,1750000
7477, באר יעקב,שא נס,11,4.0,104,דירה,2790000
7478, אשדוד,רובע א',0,4.0,152,דירה,2020000
7479, ראשון לציון,נחלת יהודה,1,3.0,93,דירה,2570000
7480, גני תקווה,גנים צפון,3,4.0,120,דירה,3700000
7481, רמת גן,קרית קריניצי,3,5.0,160,גג/פנטהאוז,6800000
7482, תל אביב יפו,ישראל גלילי,7,5.0,280,גג/פנטהאוז,10200000
7483, נתניה,נתניה,12,4.0,122,דירה,3850000
7484, באר שבע,שכונה א',0,4.0,80,דירת גן,1180000
7485, תל אביב יפו,שדרות ירושלים 137,2,3.0,80,דירה,3750000
7486, תל אביב יפו,פרנקפורט,0,3.0,69,דירה,3850000
7487, תל אביב יפו,רמת החייל,2,5.5,175,גג/פנטהאוז,6360000
7488, קרית אתא,הביכורים,5,4.0,88,דירה,990000
7489, תל אביב יפו,יוחנן הורקנוס 33,3,3.0,85,דירה,4650000
7490, רעננה,נווה זמר,0,5.0,150,דירת גן,5100000
7491, ירושלים,אהרון אשכולי 109,2,3.5,70,דירה,2450000
7492, קרית אונו,שטרן 111,1,6.0,140,דירה,4290000
7493, קרית שמונה,"האצ""ל 11",-2,3.0,94,דירת גן,1499999
7494, ירושלים,אדם 2,3,4.0,90,דירה,1900000
7495, קרית שמונה,יוסף שפרינצק 50,2,4.0,65,דירה,599000
7496, תל אביב יפו,זלמן שניאור 4,4,3.0,77,דירה,5150000
7497, חריש,אורן 38,1,4.0,119,דירה,1750000
7498, עפולה,החריש 4,4,4.0,115,דירה,1150000
7499, צור הדסה,נחליאלי 22,4,4.0,128,דירה,2540000
7500, נס ציונה,זרובבל 13,4,4.0,120,דירה,2650000
7501, אילת,עפרוני 4,1,4.0,130,דירת גן,1700000
7502, חיפה,עובדיה 18,1,5.0,320,דירת גן,4000000
7503, אשדוד,חבקוק הנביא 2,0,4.5,170,דירת גן,2650000
7504, בת ים,השר שפירא 3,3,4.0,115,דירה,2790000
7505, ירושלים,רבקה 7,2,4.0,96,דירה,3790000
7506, באר שבע,גדעון האוזנר 63,5,5.0,250,גג/פנטהאוז,2500000
7507, באר שבע,נחום שריג 21,0,4.0,226,דירת גן,1750000
7508, באר שבע,בר ניסן 48,1,3.0,92,דירת גן,1420000
7509, תל אביב יפו,נווה שאנן,2,2.0,50,דירה,2095000
7510, רמת גן,המבדיל,1,2.5,70,דירה,2700000
7511, הרצליה,הרצליה הצעירה,0,4.5,217,דירת גן,6100000
7512, תל אביב יפו,"לב תל אביב, לב העיר צפון",2,4.0,115,דירה,7700000
7513, חריש,רימון,0,5.0,116,דירה,1750000
7514, נתניה,ברודצקי אשר,3,3.0,75,דירה,1990000
7515, ירושלים,החלוץ,1,6.0,150,דופלקס,6350000
7516, פתח תקווה,מחנה יהודה,1,4.0,100,דירה,2300000
7517, תל אביב יפו,הצפון הישן - דרום,4,4.0,104,דירה,6600000
7518, גני תקווה,דרך אילות,1,4.0,115,דירה,3630000
7519, תל אביב יפו,פרופ' שור,1,3.0,70,דירה,4650000
7520, הרצליה,הרצליה,0,4.0,205,דירת גן,5580000
7521, ראשון לציון,הזמורה,6,3.5,85,דירה,100000
7522, באר שבע,שכונה ט',8,3.0,86,דירה,990000
7523, חולון,בילינסון 31,2,5.0,200,גג/פנטהאוז,3070000
7524, אשדוד,אריה בן אליעזר 22,1,4.0,100,דירה,1780000
7525, חיפה,דרך יד לבנים 125,10,3.0,70,דירה,1250000
7526, צור הדסה,צור הדסה,0,4.0,224,דירת גן,3280000
7527, כרמיאל,כרמיאל,4,4.0,131,דירת גן,1700000
7528, אשדוד,אדר,1,4.0,130,דירה,2250000
7529, כפר סבא,דובה ויצחק שיינפיין 36,2,4.0,139,דירה,3590000
7530, ירושלים,מאיר גרשון 23,1,3.0,82,דירה,1980000
7531, עכו,הרב רייפמן 1,12,5.0,113,דירה,1550000
7532, פתח תקווה,עזרא ונחמיה 2,1,4.0,97,דירה,1900000
7533, רכסים,השיקמים 1,1,5.0,225,דירת גן,2500000
7534, ראשון לציון,הגדוד העברי 7,4,4.0,95,דירה,3100000
7535, אור עקיבא,מור 1,1,3.0,101,דירה,1950000
7536, באר יעקב,יהלום 9,16,5.0,160,דירה,3860000
7537, בת ים,רימון 4,3,2.5,56,דירה,1700000
7538, לוד,רגבים 14,0,3.0,260,דירת גן,1750000
7539, ערד,אלעזר בן יאיר 67,2,3.5,74,דירה,705000
7540, נהריה,הזמיר 20,3,4.0,106,דירה,1320000
7541, טבריה,הצנחנים 27,3,4.0,120,דירה,1600000
7542, מעלות תרשיחא,"זלמן שז""ר 453",3,4.0,85,דירה,580000
7543, קרית ארבע,דוד המלך 34,3,3.0,74,דירה,710000
7544, נתיבות,אלי סיני 1,7,4.5,128,דירה,1490000
7545, עפולה,שדרות רובע יזרעאל 20,6,5.0,172,דירה,1850000
7546, ראש העין,גרטרוד עליון 32,2,5.0,120,דירה,3200000
7547, פתח תקווה,"צה""ל 24",3,4.5,100,דירה,2700000
7548, תל אביב יפו,שמריהו לוין,1,2.0,60,דירה,4200000
7549, שדרות,בן גוריון,2,5.0,120,דירה,890000
7550, גבעתיים,גבעתיים,2,4.0,109,דירה,3590000
7551, מעלה אדומים,העוגב,1,4.0,91,דירה,1690000
7552, באר שבע,שכונה ג',3,3.0,60,דירה,880000
7553, ירושלים,קרית משה,5,5.0,120,דירה,4900000
7554, בת ים,השר רבינוביץ,2,3.0,70,דירה,1790000
7555, תל אביב יפו,"לב תל אביב, לב העיר צפון",1,4.0,79,דירה,5900000
7556, נתניה,שדרות ניצה,21,5.0,135,דירה,4570000
7557, תל אביב יפו,תרצה 23,4,4.0,94,דירה,6290000
7558, חיפה,הרצליה,2,3.0,120,דירה,1025000
7559, הרצליה,אמה טאובר פרידמן,4,4.0,105,דירה,3780000
7560, קרית גת,היסמין 111,8,4.0,112,דירה,1690000
7561, קרית ביאליק,חיים,0,4.0,146,דירה,1490000
7562, פתח תקווה,הדר המושבות החדשה / אם המושבות החדשה,12,4.0,112,דירה,3150000
7563, תל אביב יפו,נווה שרת,2,4.0,122,דירה,4790000
7564, ירושלים,שדרות הרצל 84,1,4.0,103,דירה,2900000
7565, עפולה,משה שרת,5,4.0,115,דירה,970000
7567, באר שבע,גוש עציון,1,4.0,80,דירה,999000
7569, מוצא עילית,ארזה 14,3,5.0,169,גג/פנטהאוז,5900000
7570, טבריה,אחוזת בית 11,2,6.0,162,דירה,1500000
7571, טבריה,עליזה בגין 13,1,5.0,155,דירה,1500000
7572, חיפה,שדרות המגינים 110,1,4.0,110,דירה,1770000
7573, ירושלים,"בית""ר 40",1,3.5,82,דירה,3684000
7574, דימונה,מתתיהו הכהן 225,3,3.5,80,דירה,530000
7575, נצרת עילית / נוף הגליל,הרב פנחס מילר 3,-2,3.0,153,דירה,1100000
7576, חיפה,נווה גנים 11,1,3.0,72,דירה,1400000
7577, רכסים,הנרקיסים 18,-1,6.0,130,דירה,1980000
7578, חיפה,חסן שוקרי 5,8,2.0,23,דירה,550000
7579, ירושלים,בית וגן 15,0,5.5,118,דירה,4200000
7580, קרית מוצקין,"ש""י עגנון 1",12,5.0,125,דירה,2390000
7581, חיפה,חניתה 81,-1,4.5,180,דירת גן,2180000
7582, רמלה,שושנה דמארי 22,4,4.0,111,דירה,2320000
7583, בני ברק,דב גרונר 12,2,4.5,100,דירה,2750000
7584, עמנואל,הרב פנחס לוין 1,1,4.5,125,דירה,1499000
7585, ירושלים,אייזיק רמבה 601,0,4.5,90,דירה,2600000
7586, אשדוד,קרן היסוד 18,5,4.0,141,דירה,2580000
7587, גבעתיים,גולומב,3,3.0,134,דירה,3690000
7588, תל אביב יפו,החשמונאים 96,39,4.0,102,דירה,4750000
7589, נס ציונה,משמר הירדן,3,5.0,125,דירה,4395000
7591, תל אביב יפו,הצפון החדש - כיכר המדינה,22,5.0,160,דירה,7100000
7592, הוד השרון,שלמה המלך,4,8.0,300,גג/פנטהאוז,5700000
7593, ירושלים,יהודה,2,4.0,84,דופלקס,3490000
7594, נתיבות,אריאל שרון,7,3.0,90,דירה,1250000
7595, אשקלון,שדרות מנחם בגין,3,3.0,85,דירה,1150000
7596, באר שבע,אביה השופט 1,1,2.0,52,דירה,570000
7597, רמת השרון,נווה גן,1,4.0,117,דירה,5050000
7598, רמלה,עוזי חיטמן,2,4.5,100,דירה,2380000
7599, ראשון לציון,ההתיישבות,6,4.0,110,דירה,3000000
7600, רמלה,יעקב דורי,8,3.0,95,דירה,2089000
7601, נהריה,פינסקר 6,3,5.0,135,דירה,1800000
7602, קרית ביאליק,"מרכז העיר, סביניה, הוותיקה",1,3.0,60,דירה,980000
7604, תל אביב יפו,אלנבי,3,2.0,45,דירה,3050000
7605, רחובות,בתיה מקוב 27,4,4.0,105,דירה,2360000
7606, בת ים,ברנר,2,3.0,75,דירה,1950000
7607, ראשון לציון,רמת אליהו,4,3.0,100,דירה,2390000
7608, בת ים,בר יהודה 6,1,4.0,97,דירה,2520000
7610, טבריה,אוסישקין 1,3,4.0,118,דירה,1280000
7611, מזכרת בתיה,שדרות רפאל סויסה 9,3,5.0,150,גג/פנטהאוז,4350000
7612, ראשון לציון,הרב יצחק שלינקה 10,1,5.0,120,דירה,3370000
7613, באר שבע,אהרון ציזלינג 4,1,3.0,79,דירה,899000
7614, אשדוד,שבט נפתלי 5,4,4.5,145,דירה,2900000
7615, ירושלים,הרב אליעזר ברגמן 18,2,4.0,95,דירה,3750000
7616, נשר,הערבה 8,7,3.5,92,דירה,1540000
7617, אלפי מנשה,גולן 52,-1,4.0,123,דירה,2000000
7618, ירושלים,הצבר 1,1,4.5,100,דירת גן,2600000
7619, עמנואל,"חת""ם סופר 6",1,3.5,120,דירה,900000
7620, קרית ביאליק,אהוד מנור 11,17,5.0,120,דירה,2100000
7621, נתיבות,שלום בונייך 5,14,4.0,130,גג/פנטהאוז,1750000
7622, רמת גן,פרוג 7,5,4.5,135,דירה,5300000
7623, בני ברק,קיבוץ גלויות 10,4,6.0,190,דירה,4600000
7624, מודיעין מכבים רעות,דם המכבים 50,1,3.5,225,דירת גן,4200000
7625, תל אביב יפו,ישראל גלילי 9,4,5.0,119,דירה,6000000
7627, כפר סבא,התפוז,3,3.0,73,דירה,2390000
7628, רמת גן,הירדן,1,3.0,78,דירה,2290000
7629, נס ציונה,מכבי 1,6,6.0,229,גג/פנטהאוז,4620000
7630, תל אביב יפו,הצפון החדש - כיכר המדינה,5,5.0,185,דירה,10800000
7631, מזכרת בתיה,שדרות רפאל סויסה,0,5.0,125,דירת גן,3450000
7632, ראשון לציון,הירמוך,5,4.0,122,גג/פנטהאוז,3700000
7633, רמת השרון,נווה גן,1,5.0,130,דירה,5850000
7634, תל אביב יפו,שמואל הנגיד,2,3.0,65,דירה,3900000
7635, תל אביב יפו,נווה שרת,1,3.0,78,דירה,3100000
7636, תל אביב יפו,עין הקורא 16,5,3.0,73,דירה,2950000
7637, חולון,יוסף ברץ,5,4.0,90,דירה,2550000
7638, הוד השרון,הפרדס 7,5,5.0,22,דירה,4890000
7639, ראשון לציון,מעגל השלום,9,4.0,110,דירה,3230000
7640, תל אביב יפו,"מכללת תל אביב יפו, דקר",1,5.0,130,דירה,4200000
7641, רמת גן,המתמיד,14,5.0,180,גג/פנטהאוז,6950000
7642, תל אביב יפו,"לב תל אביב, לב העיר צפון",1,3.0,63,דירה,3980000
7643, קרית ביאליק,"מרכז העיר, סביניה, הוותיקה",3,4.0,96,דירה,1185000
7647, קרית יערים,"הרי""ף 9",1,4.5,100,דירה,3000000
7648, אשדוד,שבט לוי 5,6,4.0,120,דירה,2450000
7649, דימונה,יהודה הלוי 17,0,4.0,96,דירת גן,1170000
7650, אשקלון,בלפור 11,1,5.0,190,דירת גן,2700000
7651, נתיבות,שדרות ירושלים 68,3,3.0,74,דירה,850000
7652," בני עי""ש",הרקפת 4,1,5.5,150,גג/פנטהאוז,2590000
7653, קרית אונו,"צה""ל 94",6,3.0,89,דירה,2790000
7654, תל אביב יפו,מאירבר 5,1,4.5,170,דירת גן,3500000
7655, רמת גן,נווה יהושע 44,1,4.0,100,דירה,3150000
7656, תל אביב יפו,נס ציונה 3,2,3.0,77,דירה,5780000
7657, רמת גן,חד נס 41,3,5.0,197,דופלקס,3790000
7658, נצרת עילית / נוף הגליל,יזרעאל 11,2,3.0,75,דירה,900000
7659, רמת השרון,"שח""ל 35",9,4.0,100,דירה,3390000
7660, חיפה,אילת 11,2,4.0,92,דירה,1450000
7661, באר שבע,בית אל 2,19,5.0,136,דירה,2500000
7662, כפר יונה,חנה רובינא 3,3,5.0,160,דירה,3490000
7663, ירושלים,אביר יעקב 3,0,4.0,250,דירת גן,2550000
7664, חיפה,השחף 4,1,4.0,120,דירה,3500000
7665, עפולה,רובע יזרעאל סביוני העמק,8,5.0,140,דירה,1390000
7666, אילת,אילת,1,4.0,100,דירה,1600000
7667, רמת גן,דרך שיבא,7,5.0,136,דירה,3960000
7668, קרית גת,המרי העברי 6,0,4.0,126,דירת גן,1890000
7669, אשדוד,"רובע ט""ז",2,3.0,100,דירה,2350000
7670, תל אביב יפו,הרב קוק,3,3.0,100,דירה,5550000
7671, רעננה,אחד העם 2,3,5.0,120,גג/פנטהאוז,3350000
7672, פתח תקווה,יוסף אהרונוביץ' 13,2,4.5,85,דירה,2050000
7673, בת ים,יחזקאל דנין,2,3.0,78,דירה,1800000
7674, חיפה,יעקב קליבנוב,7,4.0,90,דירה,1350000
7675, תל אביב יפו,יפרח,1,5.0,200,דופלקס,5900000
7676, כפר סבא,פרופ' דינור 30,3,6.0,198,דופלקס,3980000
7677, דימונה,משעול רוגל,4,4.0,96,דירה,610000
7678, רעננה,קצין 5,4,5.0,121,דירה,3766000
7679, ירושלים,משה קול,0,4.0,100,דירת גן,4995000
7680, חולון,יהושע רבינוביץ,6,5.0,115,דירה,2650000
7681, כפר סבא,למפרט,4,4.0,158,דירה,2720000
7682, חולון,"מרכז, קרית עבודה",2,2.5,60,דירה,1790000
7683, הוד השרון,הוד השרון,4,3.5,100,דירה,2920000
7685, רחובות,יעקב תמרי,9,4.0,94,דירה,2450000
7686, קרית ביאליק,הפקאן 1,8,3.0,90,דירה,1700000
7687, נתיבות,הרב צבאן 40,2,4.0,120,דירה,1470000
7688, נשר,יפה נוף 22,7,4.0,162,דירה,1790000
7689, ראשון לציון,שלמה אלירז 9,18,4.0,127,דירה,3300000
7690, גבעתיים,קרן קיימת לישראל 20,3,4.0,112,דירה,4800000
7691, לוד,שבט יהודה 15,4,5.0,136,דירה,2650000
7692, רחובות,רחל הרשנזון 34,2,5.0,134,דירה,3000000
7693, ביתר עילית,הרב יעקב מוצפי 37,3,3.5,285,דירת גן,2450000
7694, פתח תקווה,זכרון יעקב 16,8,4.0,120,דירה,3150000
7695, ירושלים,יצחק מירסקי 20,3,5.0,115,דירה,4500000
7696, רמת גן,יוסף הגלילי 22,24,3.0,85,דירה,3200000
7697, נתיבות,קטיף 22,2,5.0,125,דירה,1690000
7698, חיפה,הקלעים 6,3,3.0,68,דירה,1900000
7699, ראשון לציון,רבי משה בן נחמן 20,1,3.0,98,דירה,2560000
7700, באר יעקב,טופז 9,12,4.0,119,דירה,3280000
7701, בית שמש,הגפן 17,1,3.0,65,דירה,1580000
7702, ראש העין,שייקה אופיר 7,6,5.0,134,דירה,3190000
7703, פתח תקווה,הסיבים 20,4,6.0,160,דירה,3850000
7704, קרית טבעון,קרית עמל,1,3.0,70,דירה,1650000
7706, ירושלים,ירושלים,0,3.5,76,דירה,3180000
7707, ראשון לציון,שיבת ציון,3,3.5,90,דירה,1950000
7708, פתח תקווה,קפלן,3,3.0,50,דירה,1850000
7709, באר שבע,גולומב,12,4.0,112,דירה,1870000
7710, חיפה,חביבה רייק,6,5.0,124,דירה,2490000
7711, יהוד מונוסון,קרית הסביונים,9,4.5,130,דירה,2950000
7712, תל אביב יפו,רמת אביב ג',10,5.0,130,דירה,8000000
7713, ירושלים,משה קול,3,5.0,115,דופלקס,3600000
7714, נס ציונה,"אצ""ל",2,3.0,60,דירה,2150000
7715, תל אביב יפו,אליהו בית צורי,7,4.0,181,גג/פנטהאוז,13000000
7716, נתניה,נתניה,6,4.0,106,דירה,2820000
7717, כפר סבא,דוד זהבי,0,4.0,210,דירת גן,4900000
7718, יבנה,אהרון חג'ג',2,4.5,89,דירה,1800000
7719, אשדוד,"רובע ט""ו",1,5.0,176,דופלקס,4600000
7720, באר שבע,שמעון בר גיורא,2,2.0,44,דירה,675000
7721, בת ים,הלפר,3,4.0,90,דירה,1970000
7722, מעלה אדומים,פרי מגדים,3,5.0,135,גג/פנטהאוז,1930000
7723, רמת גן,קרית קריניצי,22,4.0,101,דירה,3990000
7724, יבנה,התורן,0,6.0,305,דירת גן,5300000
7725, קרית מלאכי,הרצל 62,1,5.0,100,דירה,1850000
7726, נתניה,אליהו גולומב 43,3,5.0,120,דירה,2650000
7727, ירושלים,דרך חברון 120,3,4.0,110,דירה,3500000
7728, אופקים,נחל אופקים 4,8,5.0,130,דירה,1600000
7729, נתיבות,נצרים 23,4,4.0,126,דירה,1290000
7730, נתניה,זלמן שניאור 34,6,4.0,84,דירה,2400000
7731, שוהם,ענב 1,1,5.5,146,דירה,4490000
7732, בית שמש,נחל רביבים 23,2,4.5,114,דירה,2550000
7733, בית שאן,לוי אשכול 34,1,3.0,120,דירה,1280000
7734, פתח תקווה,יונה גרין 5,1,4.0,97,דירה,2250000
7735, אופקים,האורן 15,0,1.0,18,סטודיו/לופט,100000
7736, באר שבע,דרך מצדה 258,4,4.0,96,דירה,990000
7737, בני ברק,סוקולוב 34,5,3.0,75,דירה,2100000
7738, אשקלון,הרב נורוק 3,3,5.0,115,דירה,2300000
7739, נהריה,וייצמן 48,0,4.0,110,דירת גן,1650000
7740, אשדוד,שבי ציון 26,4,3.0,75,דירה,1495000
7741, קרית גת,שדרות גת 235,4,4.0,110,דירה,1650000
7742, ביתר עילית,הרב יצחק אריאלי 9,1,4.0,200,דירה,2245000
7744, תל אביב יפו,הרצל רוזנבלום,2,2.0,65,דירת נופש,3850000
7745, ראשון לציון,החלמונית,4,3.5,75,דירה,1860000
7746, ראשון לציון,"רמב""ם",1,4.0,110,דירה,2390000
7747, קרית אתא,הרצל,3,4.5,100,דירה,1150000
7748, פתח תקווה,דוד וולפסון,1,5.0,134,דירה,2590000
7749, רמת השרון,תרשיש 20,3,5.0,295,גג/פנטהאוז,13500000
7750, תל אביב יפו,יהודה הלוי,0,4.0,85,דירה,4250000
7751, פתח תקווה,הרב ישעיהו משורר,10,5.0,139,דירה,3160000
7752, תל אביב יפו,תל אביב יפו,3,4.0,84,דירה,4500000
7753, גבעתיים,סירקין,9,5.5,217,גג/פנטהאוז,6900000
7754, תל אביב יפו,דרך מנחם בגין 158,11,2.0,73,דירה,3100000
7755, נתניה,ראשון לציון,7,5.0,150,דירה,3390000
7756, הרצליה,השופטים 5,2,4.5,125,דירה,3725000
7757, תל אביב יפו,איתיאל,0,6.0,137,דירת גן,3780000
7758, תל אביב יפו,תל ברוך צפון,6,6.0,180,דופלקס,8500000
7759, חיפה,אחוזה,2,4.0,140,דירה,2950000
7760, תל אביב יפו,"לב תל אביב, לב העיר צפון",0,3.0,245,דירת גן,8750000
7761, ראש העין,מעיין,2,4.0,145,דירה,2780000
7764, ירושלים,המרגלית 11,2,3.0,70,דירה,1950000
7765, כפר סבא,זמיר 9,5,4.0,118,דירה,3150000
7766, אשקלון,גולני 30,3,2.0,50,דירה,1300000
7767, עפולה,גיורא יוספטל 11,3,4.0,110,דירה,950000
7768, פרדס חנה כרכור,גינת אגוז 22,13,5.0,125,דירה,2790000
7769, קרית גת,יהודה קן דרור 5,0,5.0,335,דירת גן,2900000
7770, ירושלים,צרויה 6,1,5.0,110,דירה,3000000
7771, תל אביב יפו,דוד אבידן 16,5,5.0,123,דירה,4900000
7772, אלעד,רבי פנחס בן יאיר 25,2,4.5,140,דירה,2550000
7773, עפולה,וולפסון 23,2,3.0,60,דירה,930000
7774, קרית מלאכי,שמעון פרס 2,2,3.0,85,דירה,1650000
7775, חצור הגלילית,יצחק שמיר 51,1,3.0,80,דירה,890000
7776, בת ים,הקוממיות 14,18,4.0,120,דירה,3850000
7777, חיפה,הרב אוחנה 37,1,3.0,68,דירה,795000
7778, רחובות,קלמן גבריאלוב 5,2,4.0,86,דירה,2300000
7779, רעננה,שושנה דמארי 8,0,6.0,213,דירת גן,5850000
7780, צור הדסה,דוכיפת 7,0,4.0,230,דירת גן,3500000
7781, אשקלון,מגידו 2,0,5.0,1,דירת גן,2520000
7782, ירושלים,קרית מנחם,2,5.0,130,דירה,2500000
7783, אילת,"צאלים, מערב 1",1,4.0,80,דירה,1570000
7785, פתח תקווה,המרכז השקט / מרכז העיר,8,5.0,120,גג/פנטהאוז,3300000
7786, רמת גן,מנדס,4,4.0,120,דירה,3650000
7787, באר יעקב,טופז,6,5.0,132,דירה,3230000
7788, תל אביב יפו,הצפון החדש - צפון,5,4.0,245,דופלקס,16000000
7789, ירושלים,"בית הכרם, רמת בית הכרם",4,5.0,120,גג/פנטהאוז,6250000
7790, אשקלון,אשקלון,4,3.0,70,דירה,1557000
7791, רמת גן,הרימון 14,0,1.5,44,דירה,1790000
7792, בת ים,ביאליק,2,5.0,120,דירה,3150000
7793, חיפה,משה גוט לוין,5,4.0,85,דירה,1399000
7794, נתניה,דיזנגוף 35,6,5.0,134,דירה,3250000
7795, אילת,אילת,0,3.0,70,דופלקס,1400000
7796, מודיעין מכבים רעות,אסתר המלכה,0,4.0,120,דירת גן,4150000
